severe,sévère
echaper,rechaper
reduire,réduire
interresse,interresse
quadrisécables,quadrisécables
hémorroides,hémorroïdes
chiee,chiée
efficacite,efficacité
rodogil,rodoir
atd,ad
bib,nib
7mois,7mois
ara69zc,ara69zc
bromokin,bromokin
répulser,révulser
desorel,isorel
corectement,correctement
déreglé,déréglé
nausez,saunez
b6,b6
intéragit,interagit
insommolence,insommolence
12ch,12ch
oeudèmes,oeudèmes
luthényl,luthényl
dolisos,dolics
mmr,mer
arrèt,arrêt
8dh,8dh
 ou,ou
gyné,gêné
bcp,bip
anesthesier,anesthésier
flexi,flexi
babybalm,babybalm
reglé,réglé
carbopol,carbopol
ticagrelor,ticagrelor
interraction,interaction
derange,dérange
limitte,limite
desir,désir
coffea,coffra
bjs,bus
efferlgan,efferlgan
égatif,négatif
sexoplex,sexoplex
occurence,occurrence
euphitose,euphitose
gelsinuim,gelsinuim
amcor,amcor
béconase,béconase
préscrit,prescrit
dexorat,dexorat
dajouter,d’ajouter
er,et
è,ai
debarasser,débarrasser
7h00,7h00
ui,hi
remede,remède
8ème,8 ème
parcontre,par contre
tomentosa,toment osa
arreter,arrêter
antidepresseur,antidépresseur
léxomil,léxomil
multibolic,multibolic
ejaculer,éjaculer
aui,qui
4kg,4 kg
géllules,gélules
tevagrastim,tevagrastim
eucal,ducal
expidet,expidet
abylify,abylify
icic,ici
jre,ure
maalox,maalox
prévenar,prévenir
surtt,suret
5eme,5 eme
isa,Isa
presente,pressente
oropivalone,oropivalone
200hp,200hp
cmt,cet
regle,réglé
evepâr,evepâr
irss,ires
juglans,juglans
leelou,leelou
neurolepique,neuroleptique
grignottages,grignotages
4ch,4ch
psychlogue,psychologue
role,rôle
telogène,telogène
zythromax,zythromax
ixprim37,ixprim37
30°,30°
ltp,ftp
28j,28 j
gasto,gastro
re,ré
eloigner,éloigner
humex,humes
ue,UE
4g,4 g
réapparaitrent,réapparaitrent
prozas,probas
eclampsie,éclampsie
biprofénid,biprofénid
2mois1,2mois1
prendait,prenait
considerable,considérable
assimiliée,assimilée
enterologue,denturologue
quj,qui
empechait,empêchait
retention,rétention
comp,compo
tétralysal,tétralysal
recent,ressent
dishydrose,dyshidrose
arrêtér,arrêter
abrotanum,abrotanum
fè,f
debu,debu
1cpr,1cpr
génants,gênants
pilulle,pilule
sterogyl,sterogyl
léo,Léo
alat,lat
suees,suées
contien,contiens
audreymaz,audreymaz
dernieres,dernières
pendans,pendants
décontractyl,décontractyl
bientot,bientôt
débridat,débridât
1xanax,1xanax
sêche,seiche
empéche,empêche
28e,28e
antimonium,antimoniure
depuirative,dépurative
anxieté,anxiété
granions,grainons
dolyprane,dolyprane
gestue,geste
dangerueux,dangereux
weled,weled
norelevo,norelevo
hoemopathie,homéopathie
1ère,1ère
norofloxacine,norofloxacine
decidé,décide
ème,aime
apparuent,appartenu
josir,rosir
prevu,prévu
10h,10 h
adépale,ad épale
rubeole,rubéole
ignitia,initia
levocétirizine,levocétirizine
andogénétique,androgénétique
airomir,miroir
21h41,21h41
provera,privera
tempsde,temps de
ribes,robes
1luteran5,1luteran5
2années,2 années
codéïné,codéine
jms,jams
emboli,embolie
ou3,ou3
21h00,21h00
isoptohomatropine,isoptohomatropine
insulino,insuline
nasocort,nasocort
deja,déjà
abigail,Abigail
etai,étai
méteoxane,méteoxane
surinfecter,sur infecter
steri,serti
ressembaient,ressemaient
hekla,hekla
berberis,berbéris
quest,ouest
25ej,25ej
voulai,ovulai
trophygil,trophygil
surement,sûrement
biocanina,biocanina
pédiâtre,pédiatre
lonten,lonten
gallia,allia
yemen,Yémen
monodose,mono dose
7jours,7 jours
frotti,frottis
prescit,prescrit
ziprasidone,ziprasidone
l8,l8
bucale,buccale
essure,ressue
akineton,akineton
enchainant,enchaînant
crps,ceps
pendt,pend
mifégyne,misogyne
21j,21 j
7dpo,7dpo
bep,bel
enfait,entait
gellules,cellules
pulsatille,pulsatile
intolerances,intolérances
connaitrait,connaîtrait
lutényl,lutényl
regia,retia
veroa,versa
arrèté,arrête
menopause,ménopause
bjr,ber
2ndaire,2ndaire
sclarée,déclarée
trinordio,trinordio
contraceptivité,contraceptivité
minidosée,mini dosée
protègé,protégé
completemment,complètement
nfs,nefs
osteo,osteo
micoster,micoster
repond,répond
acnee,acnee
quil,cil
interférè,interférai
crat,trac
deconseillé,déconseille
23juin,23juin
caulophyllum,caulophyllum
generaliste,generaliste
narrines,narines
hesite,hésite
duoresp,duoresp
boir,brio
qques,queues
inexpulsables,in expulsables
intéraction,interaction
mere,mère
paraitre,paraître
6kg,6 kg
picroval,picroval
emflammées,enflammées
jé,je
plakettes,plaquettes
prochéne,prochaine
arre,are
pasque,masque
hypercholesterolemie,hypercholestérolémie
4mg,4 mg
qqun,qqun
decaler,dessaler
arréter,arrêter
viscéralgine,viscéralgie
allergollogue,allergologue
puovait,pouvait
3ème,3 ème
alor,alors
xr,x
battemements,battements
clavulanique,clavulanique
aggressivité,agressivité
alternaive,alternative
bicar,bicarré
generalisé,generalisé
resoudre,résoudre
decontracturan,decontracturan
entérologue,hétérologue
difference,différence
risperdone,risperdone
cytotek,cytotek
presrit,prescrit
rispéral,rispéral
demin,demi
aigüe,aiguë
plillul,plillul
mn,ln
précrit,récrit
weroquel,weroquel
irs,ris
therme,terme
rattrappé,rattrapé
souhiaterais,souhaiterais
primpéran,primpéran
anevrisme,anévrisme
pdt,pst
detruites,détruites
protèger,protéger
périactine,péri actine
tetanos,tétanos
entrainer,entraîner
500mg,500 mg
précédantes,précédentes
10kgs,10kgs
logntemps,longtemps
 mal,mal
fillait,filait
monotest,mono test
andocur,pandour
aures,ores
seuvrage,sevrage
detoxat,detoxat
oeuphytoses,oeuphytoses
garcon,garçon
evépar,evépar
ths,tus
amoxyciline,amoxyciline
arterièlle,artérielle
50mg,50 mg
axactement,exactement
agire,aigre
comencé,commencé
homeoplasmine,homeoplasmine
12g,12 g
prendres,prendrez
vibramycine,vibramycine
rosmarinus,romarins
aii,ai
dipsponible,disponible
gogole,gogo le
17h,17 h
phosphorica,phosphorite
n°21,n°21
immovan,immovan
ammenant,amenant
déstiner,destiner
2smaines,2smaines
tranquilement,tranquillement
convientpas,convient pas
désobel,dés obel
profondémment,profondément
core,ocre
graminés,graminée
carrence,carence
chamomilla,chamailla
xx,x
practon,traction
delires,délires
emla,empala
homéopatiques,homéopathiques
kelke,kelke
argentum,argenture
provame,proclame
rénalate,rénale
minazol,minazol
trinidiol,trinidiol
reconsituer,reconstituer
aguiller,aiguiller
édans,dans
saletéees,saletés
 pulsatilla, pulsatilla
enfet,enfer
bcq,bcq
antiobiotique,antibiotique
lucie,Lucie
ketoderme,ectoderme
lamisilate,lamisilate
zyban,zyban
sg,s
étre,être
lequelle,laquelle
malox,maloya
4éme,4 éme
particulierement,particulièrement
oestrogel,oestrogel
rappor,rapport
lysopaïne,lysopaïne
tm,t
dermodrainol,dermodrainol
récuperer,récupérer
iralande,ira lande
homeopathie,homéopathie
120mg,120 mg
oeil,œil
lobamine,lob amine
minidrill,mini drill
gracial,gracia
16eme,16 eme
21jours,21 jours
galien,alien
clement,clément
oestrogènes,œstrogènes
lab,bal
alpraz,alpraz
qoui,quoi
cruda,couda
bouffees,bouffées
39eme,39 eme
prescri,prescris
10heures,10heures
irégulière,irrégulière
10sa,10sa
simplemen,simplement
eporatio,eporatio
séresta,séresta
pilulles,pilules
horeur,horreur
oligo,oligo
jémeré,jémeré
wellbutrin,wellbutrin
pricipe,principe
millepertiuis,millepertuis
peremption,péremption
22éme,22 éme
 depuis,depuis
19mois,19mois
helichryse,helichryse
tea,te
recomencer,recommencer
zhom,zoom
endometre,endomètre
2007 à 22,2007 à 22
inject,injecte
arkogelules,arkogelules
interractions,interactions
vigilence,vigilance
miness,mines
1an,1 an
arretée,arrêtée
levodopa,levodopa
8jrs,8 jrs
prevenar,prevenar
lacné,l’acné
corecteur,correcteur
reseignement,renseignement
decalage,dessalage
appercue,uppercut
differents,différents
vanessa,Vanessa
risperal,dispersal
antidép,anatidé
11décembre,11décembre
râter,rater
rapeler,rappeler
someil,sommeil
paupiere,paupière
lp,op
effetsindésirables,effets indésirables
inadvertence,inadvertance
plutar,plupart
antibios,antibois
calcanéennes,cananéennes
perace,perce
nvlle,nille
anitbiotique,antibiotique
desuite,de suite
redeclenché,redeclenché
parmis,parmi
differin,differin
guerir,guérir
sperm,sperme
b5,b5
spm,spam
jen,j’en
derinieres,derinieres
cymblalta,cymblalta
dhier,d’hier
arsenicum,arsenic
arrete,arrête
k1,k1
abcés,abcès
kaki23,kaki23
appercu,uppercut
defonce,défonce
6ans,6 ans
2cp,2cp
sour,soir
cérazette,cérazette
eco,ego
déreglement,dérèglement
oeufs,œufs
hyopkaliémie,hypokaliémie
comprim,comprime
hcz,hcz
orgametil,orgametil
prensd,prends
pourkoi,pourquoi
tars,rats
metfomine,metfomine
 mes,mes
empoisennement,empoisonnement
enervé,énerve
12h,12 h
meningetec,meningetec
tombee,tombée
médic,médoc
oestrophagien,oestrophagien
anthocyanosides,anthocyanosides
inconvenients,inconvénients
protidyne,protide
médrol,médrol
indecision,indécision
eté,été
precoce,précoce
reservé,réserve
lamictale,amicale
biprofenid,biprofenid
poussee,poussée
merck,merci
fallais,dallais
pdl,pal
débarasser,débarrasser
piquûre,piqûre
lexomil,lexomil
systeme,système
benefiques,benthiques
achille,Achille
periode,période
douelurs,douleurs
cutannée,cutanée
spotting,spotting
2014 à 19,2014 à 19
jespere,jespere
accroitre,accroître
verrucide,virucide
pourait,pourrait
kelkun,kelkun
ao,ai
33j,33 j
prescrir,prescrit
anacardium,anacardier
décontracturante,décontractante
anné,Anne
14°c,14°c
carbidopa,carbidopa
